src,dst,character,state
0,1,c20,8
1,69,c0,22
1,69,c3,20
1,69,c5,3
1,69,c7,4
1,69,c8,9
1,69,c9,25
1,69,c10,14
1,69,c11,22
1,69,c12,13
1,69,c13,8
1,69,c14,9
1,69,c18,18
1,69,c22,14
1,69,c23,21
1,69,c25,23
1,69,c26,2
1,69,c28,21
1,69,c29,20
1,25,c1,14
1,25,c2,24
1,25,c3,7
1,25,c4,19
1,25,c9,23
1,25,c11,6
1,25,c13,8
1,25,c26,24
1,25,c27,8
1,25,c29,14
25,200,c0,20
25,200,c5,19
25,200,c6,21
25,200,c7,24
25,200,c14,20
25,200,c16,21
25,200,c17,8
25,200,c18,5
25,200,c19,21
25,200,c22,2
25,200,c23,11
25,200,c25,14
25,200,c28,7
25,134,c0,21
25,134,c5,4
25,134,c6,19
25,134,c7,9
25,134,c8,12
25,134,c10,9
25,134,c15,3
25,134,c19,20
25,134,c22,11
25,134,c23,14
25,134,c25,14
25,134,c28,18
69,105,c2,20
69,98,c15,14
69,98,c16,20
69,98,c17,22
69,98,c21,20
98,151,c2,9
98,151,c19,7
98,155,c4,21
98,155,c6,24
98,155,c24,11
98,173,c4,3
98,258,c1,20
98,258,c24,8
98,279,c2,2
98,321,c19,9
98,208,c1,6
98,208,c2,6
98,158,c6,1
105,130,c4,18
105,130,c16,19
105,130,c17,9
105,290,c6,2
105,290,c16,18
105,290,c17,13
105,290,c21,14
130,178,c19,19
130,178,c21,21
130,178,c24,18
130,310,c6,13
130,310,c15,9
130,310,c24,9
130,310,c27,21
130,193,c6,19
130,193,c21,14
130,236,c15,19
130,236,c27,8
130,237,c24,19
130,187,c19,5
130,187,c24,9
130,228,c19,14
130,228,c27,16
130,307,c1,20
130,252,c1,9
130,253,c24,14
130,255,c6,14
130,262,c1,14
130,262,c21,21
130,149,c6,7
130,149,c27,11
130,164,c1,12
130,164,c15,12
130,164,c27,24
130,165,c6,10
130,165,c21,7
151,289,c1,2
151,318,c27,1
151,300,c24,2
151,301,c27,6
155,231,c27,7
158,244,c27,24
158,245,c4,11
158,364,c24,8
158,370,c1,22
164,240,c21,24
164,240,c24,9
164,241,c6,6
165,316,c1,9
173,175,c2,20
175,294,c1,11
187,233,c27,17
193,260,c24,9
200,243,c24,18
208,213,c19,18
208,297,c19,10
208,297,c27,14
213,323,c24,7
233,369,c6,1
233,369,c21,11
